conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bccf172-587b-489b-84b7-5e1c8cc91520,skill/competence,transversal,understand written Swedish,released,comprehend written Swedish | understand Swedish writing | make sense of written Swedish | interpret written Swedish | understanding written Swedish | read Swedish | understand written Swedish,Read and comprehend written texts in Swedish.,http://data.europa.eu/esco/skill/7ee51257-8947-4b69-9bdf-322baf0a6398,Swedish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ce34147-6618-4f1b-bbe3-f46e9aa17211,skill/competence,transversal,interact verbally in Limburgish,released,interacting verbally in Limburgish | speak Limburgian | speak Limburgic | communicate verbally in Limburgish | speak Limburgish | verbally interact in Limburgish | interact verbally in Limburgish | be fluent in Limburgish,Communicate orally in ​Limburgish.,http://data.europa.eu/esco/skill/cf5b3ca0-a844-42b9-b9cd-bd15465b9cac,Limburgish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ef06b7c-991c-46a5-9dbc-82506031e8f9,skill/competence,transversal,understand written Portuguese,released,understand written Portuguese | interpret written Portuguese | understand Portuguese writing | make sense of written Portuguese | comprehend written Portuguese | read Portuguese | understanding written Portuguese,Read and comprehend written texts in Portuguese.,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,Portuguese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9f3e3f27-1f27-4b77-9bc8-4ec33e33b8b1,skill/competence,transversal,write Bengali,released,correspond in written Bengia | show competency in written Bengali | write Bengali | writing Bengali | correspond in written Bengali,Compose written texts in Bengali.,http://data.europa.eu/esco/skill/ede98e07-f07d-41bc-99b0-f88bf0dad438,Bengali
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a0ccc96f-edec-4641-b053-12159ebe5b13,skill/competence,transversal,understand spoken Spanish,released,understanding spoken Spanish | comprehend spoken Spanish | understand spoken Spanish | understand Spanish speech | make sense of spoken Spanish | listen to Spanish | interpret spoken Spanish | listen to Castilian,Comprehend orally expressed Spanish.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,knowledge,transversal,Icelandic,released,ability to comprehend spoken and written Icelandic and to speak and write in Icelandic | Icelandic | competent in Icelandic,The Icelandic language.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2358129-ba05-49bb-914f-03420a8be102,skill/competence,transversal,understand written Hebrew,released,understand written Hebrew | read Hebrew | make sense of written Hebrew | understanding written Hebrew | understand Hebrew writing | comprehend written Hebrew | interpret written Hebrew,Read and comprehend written texts in Hebrew.,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,Hebrew
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a28c2024-0fa6-43fd-a848-1a7ec7fe28b0,skill/competence,transversal,understand written Albanian,released,understanding written Albanian | understand written Albanian | read Albanian | understand Albanian writing | interpret written Albanian | make sense of written Albanian | comprehend written Albanian,Read and comprehend written texts in Albanian.,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,Albanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,knowledge,transversal,Basque,released,ability to comprehend spoken and written Basque and to speak and write in Basque | competent in Basque | Basque,The Basque language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a3e0c23e-db44-43f5-af4b-7e1b60deb6d8,skill/competence,transversal,understand spoken Galician,released,interpret spoken Galician | understanding spoken Galician | understand spoken Galician | understand Galician speech | listen to Galician | make sense of spoken Galician | comprehend spoken Galician,Comprehend orally expressed ​Galician.,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,Galician
